,MODEL_STANDARD_NAME,CATE_NAME,PREDICT
109,一汽大众都市高尔夫fv71601.6mt(95-03),一汽大众高尔夫,一汽大众都市高尔夫
110,现代太薄龙2.0,韩国现代太薄龙,太薄龙
111,进口现代劳恩斯rohenscoupe3.8lmt豪华版(200903),劳恩斯coupe,劳恩斯rohensco
113,起亚嘉华3.5at,嘉华carnival,嘉华
114,东风雪铁龙雪铁龙c5dc72072.0at(200911),东风雪铁龙c5,铁龙c5
116,起亚威客2.7at,威客carnival,威客
118,东南三菱翼神dn7181b1.8lcvt时尚版舒适型(201206),东南三菱蓝瑟,东南三菱翼神
119,三菱dn72022.0mt(200911),东南三菱蓝瑟,三菱
121,起亚狮跑2.0mt,狮跑sportage,狮跑
122,曙光4.0,美国通用奥斯莫比尔曙光,曙光
123,美国通用因特里格激情3.5at,美国通用奥斯莫比尔因特里格gls,美国通因特里格激情
124,东风eq6411f2.0mt,东风商务车,东风
125,现代阿托斯0.8at(两厢),韩国现代阿托斯,阿托斯
127,现代维拉克斯3.8at(四驱200611),维拉克斯veracruz,维拉克斯
128,现代雅尊2.4at(200602),古兰德、雅尊,雅尊
129,英菲尼迪g373.7at(敞篷),英菲尼迪g系列,英菲尼迪g37
130,东风雪铁龙雪铁龙c2dc7148db1.4lmt两厢舒适型(200610),东风雪铁龙c2,铁龙c2
133,奇瑞威麟h3sqr64912.0tmt豪华型(201011),威麟h系列,威麟h3
135,天津一汽丰田花冠tv7164at,花冠/卡罗拉,花冠
136,进口大众蔚揽b8magotanv380tsi2.0t双离合两厢两驱逸行版(201609),蔚揽magotan b8,蔚揽8
137,东风eq1020t42da载货汽车,东风小霸王,东风
138,英菲尼迪q454.5at,英菲尼迪q系列,英菲尼迪q45
139,沃尔沃s802.5t(98-06),瑞典沃尔沃s80,沃尔沃s80
140,进口标致标致peugeot206cc1.6at(00-08),标致206,标致peugeot
142,进口标致标致peugeot207cc(06),标致207,标致peugeot
143,进口标致标致peugeot4062.0at(95-04),标致406,标致peugeot
144,进口标致标致peugeot407旅行车2.2at(04),标致407,标致peugeot
146,进口标致标致peugeotrcz跑车(10),标致rcz,标致peugeotr
147,进口标致标致peugeot30081.6tat时尚版(201012),标致3008,标致peugeot
148,进口雪铁龙雪铁龙citroen贝凌格1.4mt,雪铁龙贝凌格,citroen
149,进口奔驰benzclk3203.2at(97-02),奔驰clk级,奔驰
150,瑞麒sqr7180j1.8mt(201112),瑞麒g系列,瑞麒
151,萨博turbox2.8at,瑞典萨伯-斯堪尼萨博turbo x,萨博turbox
152,瑞麒sqr7131j0371.3mt(201009),瑞麒m5,瑞麒
154,斯柯达欧雅2.0mt,欧雅octavia,欧雅
155,进口奔驰benzs350(w220)3.8at(98-05),奔驰s级,奔驰
156,上汽大众斯柯达速派1.8tat,速派superb,速派
158,斯柯达法比亚1.4mt,法比亚fabia,法比亚
162,斯柯达弗雷西亚1.3mt,弗雷西亚felicia,弗雷西亚
163,跃进nj6400f1.5mt,优尼柯,j6400
166,赛飞利1.8mt(05),赛飞利zafira,赛飞利
167,奇瑞瑞虎sqr7200t1162.0lmt标准ⅰ型(200609),旗云2,瑞虎
168,德国大众高尔夫1.4mt,高尔夫golf,德国大众高尔夫
170,德国大众宝来1.9at(柴油),宝来bora,德国大众宝来
172,进口大众蔚揽b8magotanva380tsi2.0t双离合旅行四驱纵行版(201702),蔚揽magotan b8,蔚揽b8
173,迷你minione1.4dat两厢柴油版(201010),mini cooper,迷你minione
174,奇骏t302.5at(200107-200703),奇骏x-trail,奇骏t30
175,长城哈弗m4cc7151sm1.5mt(201205),长城m4,哈弗m4
176,总统4.5,总统president,总统
177,蓝瑟2.0at,兰瑟lancer,蓝瑟
178,上汽通用五菱五菱兴旺五菱龙lzw6320ei31.0lmt7座,五菱兴旺/五菱龙,兴旺五菱龙
181,英菲尼迪g353.5at,英菲尼迪g系列,英菲尼迪g35
182,风神dfm7160b31.6mt(201001),东风风神h30,风神
183,福达fz6490,福达轻型客车,福达
185,德国大众捷达2.0,捷达jetta,德大众捷达
186,进口福特野马mustang2.3tat50周年纪念版(201501),美国福特野马,野马mustang
187,北京奔驰奔驰c级bj7301f(c300)(08),北京奔驰c级,奔驰c级
190,四川一汽丰田兰德酷路泽ca6510b1e34.7lmtgx版(200605),陆地巡洋舰,兰德酷路泽
193,丰田gtm7130eb1.3at,广汽丰田雅力士,丰田
196,德国大众高尔夫tdi1.9mt,高尔夫golf,德国大众高尔夫tdi
200,美国通用庞蒂克大普里克斯se3.1at,美国通用庞蒂克大普里克斯se系列,美国通用大普里克斯
206,迷你minijcwcoopers2.0tat两厢(201704),mini jcw,i
207,迷你minijcwcoopers2.0tat两厢先锋派(201704),mini jcw,你nic
211,美国通用别克王朝3.8at,美国通用别克王朝dynasty,美国通王朝
213,丰田gtm7180m1.8lmt(201106),广汽丰田逸致,丰田
214,利雅riviera3.0at(95-99),美国通用别克利雅,利雅riviera
215,荣御2.8at(200412-200604),美国通用别克荣御,荣御
217,威麟sqr64902.0tmt(201011),威麟h系列,威麟
220,进口奔驰benzml350(w163)3.8at(98-04),奔驰ml级,奔驰
221,迷你minicooper1.5tat两厢加勒比蓝限量版三门版(201712),mini cooper,迷你inicooper
222,德国大众波罗1.4,波罗polo,波罗
224,跃进nj6400gha1.5mt(两厢),优尼柯,
225,英格尔nj6400ghr,南汽英格尔,英格尔
226,进口奔驰benz330sel3.3at,,奔驰
227,开瑞sqr63811.0mt,开瑞优胜,开瑞
230,进口奔驰benzslr722,奔驰slr级,奔驰
231,进口奔驰benzslk2302.3at,奔驰slk级,奔驰
232,现代古兰德2.0at(98-05),古兰德、雅尊,古兰德
237,君爵2.0at(98-05),君爵grandeur,君爵
241,进口三菱欧蓝德劲界outlanderex3.0l3.0lat四驱豪华版(200910),欧蓝德outlander,欧蓝德劲界outl
242,卡迪罗catera3.0at(97-01),美国通用凯迪拉克凯帝catera,卡迪罗catera
244,沃蓝达volt1.4l增程型纯电动(201111),美国通用雪弗兰沃蓝达volt,沃蓝达volt
245,美国通用雪弗兰罗米娜ls3.1at,美国通用雪弗兰罗米娜lumina,罗米娜ls
248,红旗ca7200e3l2.0mt,一汽红旗世纪星,红旗
249,红旗世纪星ca7202e3l,一汽红旗世纪星,红旗世纪星
250,红旗ca7460l24.6at,一汽红旗旗舰,红旗
251,红旗ca73003.0mt,一汽红旗盛世,红旗
255,雷克萨斯lfa系lexuslfa4.8lat(201001),日本丰田雷克萨斯跑车,雷克萨斯lfa系
256,德国大众高尔夫gti2.0at,高尔夫golf,德国大众高尔夫gti
259,海狮rh20vmt,海狮hiace,海狮
260,现代爱克索gls1.5at,韩国现代爱克索,爱克索gls
261,风神dfm71611.6mt(200907-201303),东风风神s30,风神
262,现代王朝2.0(96-05),王朝dynasty,王朝
268,中国重汽豪沃howo-a7zz4187n361hc1b牵引汽车,豪泺(howo)-a7,豪沃howo-a7
270,起亚帝国2.0at,韩国起亚帝国,起亚帝国
271,起亚速迈2.0at(201001),速迈shuma,起亚速迈
273,华利tj6341,一汽佳星幸福使者,华利
276,现代雅科仕3.5at,雅科仕equus,雅科仕
277,现代圣达菲2.7at(01-05),胜达santa fe,圣达菲
278,东风标致标致301dc7204d3072.0lmt三厢舒适型(200701),标致307,标致301
279,力帆lf71311.3mt(200804),力帆520,力帆
280,马自达ca7202at2.0(200605),一汽马自达6,马自达
283,一汽大发ca71511.5mt(200706-20200909),森雅,一汽大发
284,广州本田雅阁hg7202ab2.0mt(200303-200801),广汽本田雅阁,广州本田雅阁
287,长安sc6320c,长安微型客车,长安
288,东风eq2070fq,东风越野车,东风
296,现代得利2.5,得利terracan,得利
299,明仕ca71801.8mt,一汽红旗明仕,明仕
302,东风悦达起亚起亚kx7yqz6470ae52.0latgl(201703),东风悦达起亚kx7,东风悦达起亚起亚kx7
306,福特caf7152b1.5at两厢(200903-201303),嘉年华,福特
307,东风悦达起亚狮跑yqz6430wmt4x4(200710),东风悦达起亚狮跑/智跑,东风悦达起亚狮跑
313,长安沃尔沃caf7300a3.0tat,长安沃尔沃s80,长安沃尔沃
315,现代雅绅1.3mt,雅绅accent,雅绅
323,现代爱克索gs1.5mt,韩国现代爱克索,爱索gs
324,现代斯科坡2.0at,韩国现代斯科坡,斯科坡
325,现代美佳1.6mt(01),美佳matrix,美佳
326,东风eq7140u1.4,东风小王子,东风
328,飞度hg71341.3at(两厢200807),广汽本田飞度,飞度
333,雅力士gtm7161gm1.6mt(200806),广汽丰田雅力士,雅力士
334,佳美2.2at(91-96),佳美camry,佳美
339,东风悦达起亚起亚k2yqz7142a1.4lat(201107),东风悦达起亚k2,东风悦达起亚起亚k2
341,起亚丽欧1.4at,韩国起亚丽欧,起亚丽欧
342,进口奥迪a86.0at(200210-10),德国奥迪r8,奥迪a8
343,进口奥迪a8l6.0at(200210-10),德国奥迪a8,奥迪a8l
344,进口奥迪q53.2at(200804),德国奥迪q5,奥迪q5
349,美国通用凯迪拉克赛威sls4.6at,美国通用凯迪拉克sts/sls,赛威sls
351,美国通用凯迪拉克赛威sts4.6at,美国通用凯迪拉克sts/sls,赛威sts
352,悍马h26.2at(02),美国通用悍马h2,悍马h2
353,凯迪拉克dts4.6at(06),美国通用凯迪拉克dts,拉克dts
354,凯迪拉克sls3.6at(05),美国通用凯迪拉克sts/sls,拉克sls
356,美国通用雪弗兰罗米娜3.8at,美国通用雪弗兰罗米娜lumina,罗米娜
359,进口奔驰benzw201190e2.3(83-92),奔驰c级,奔驰
360,昌河铃木利亚纳a6ch7143cd221.4lmt三厢畅想型(201311),利亚纳a6 三厢,利亚纳
370,朗风sma71311.3mt,上海华普朗风(m203),朗风
376,朗风sma71521.5mt(双燃料),上海华普海域,朗风
377,普瑞维亚acr502.4at(200601),普瑞维亚previa,维亚acr50
380,宾利欧陆gt6.0at(两门03),欧陆continental,欧陆gt
381,宾利雅致rl6.8at(01),雅致arnage,雅致rl
382,起亚欧菲莱斯2.7at,欧菲莱斯opirus,欧菲莱斯
383,进口奥迪a84.2at(199403-200209),德国奥迪a8,奥迪a8
385,进口奥迪a32.0at(200305),德国奥迪a3,奥迪a3
386,进口奥迪audia33.2lat两厢标准型(200305),德国奥迪a3,audia3
394,华普海悦sma71531.5mt(200809),上海华普海悦,海悦
401,进口奥迪a61.8at(97-04),德国奥迪a6,奥迪a6
409,进口奥迪audia7quattro2.8lfsi双离合进取型(201111),德国奥迪a7,audia7
417,东南菱动dn6442a2.0lmt标准型,东南富利卡,东南菱动
418,庆铃ql6490114×2汽油,庆铃t系列皮卡,庆铃
419,乘龙lz3110m自卸汽车,乘龙自卸车,乘龙
420,中国重汽斯达-斯太尔王zz1256m5646v载货汽车,重汽斯太尔王,重汽斯达-斯太尔王
422,海格klq6702,海格7米公路客车,海格
423,长安sc5026c仓栅式车,长安微卡,长安
424,斯达-斯太尔zz1242m5646,重汽斯太尔王,斯达-斯太尔
430,斯达-斯太尔zz5201xxyk60c1v,金王子,斯达-斯太尔
431,长丰猎豹cfa5035xqc囚车,v31/v32/v33系列,猎豹
432,保时捷porschecayenne3.2lat(2006),保时捷凯宴cayenne,保时捷pr
433,保时捷凯宴3.6(200703-201006),保时捷凯宴cayenne,保时捷凯宴
434,凯门cayman2.7at(05),保时捷凯门cayman,凯门cayman
435,进口路虎揽胜rangeroversport4.4lat(200601),揽胜range rover sport,揽胜rangero
436,进口路虎揽胜极光rangeroverevoque2.0tat维多利亚贝克汉姆版(201211),揽胜极光range rover evoque,揽胜极光
437,超级维特拉2.4at(五门05),维特拉vitara,维特拉
439,田园3.0at(93-98),田园villager,田园
440,进口奥迪tt2.0at(四驱),德国奥迪tt,奥迪tt
442,进口标致标致peugeot308cc1.6at(敞篷200907),标致308,标致peugeot
443,进口宝马bmwe36m33.3mt,德国宝马3系,宝马
445,进口宝马bmwx32.0mt(03-06),德国宝马x3,宝马
446,思域1.6,思域civic,思域
447,本田crvrd52.0at(02-06),思威cr-v,本田crvrd
448,斯巴鲁力狮1.8at,力狮legacy,力狮
449,进口宝马bmwx6e71m4.4tat(200909),德国宝马x6,宝马
450,进口宝马bmwz33.0(94-02),德国宝马z3,宝马
452,进口宝马bmwz4e853.0si3.0lat三厢敞篷(2006),德国宝马z4,宝马
453,迷你minicooperclubman1.6lat两厢基本版(201010),mini cooper,inicoope
454,进口宝马bmwminicoopersclubman轿车(201010),mini cooper,宝马winico
455,长安sc7103f1.0mt(201208),奥拓,长安
456,迷你minicoopercabrio1.6lat基本版(201010),mini cooper,coop
458,迷你minicooperscoupe1.6tat运动版(201202),mini coupe,nco
459,迷你minicoopercoupe1.6lat基本版(201202),mini coupe,ncoop
460,迷你minicoopercabrio1.6lat基本版(2005),mini cabrio,ncooe
461,迷你minicooperscabrio1.6tat运动版(200906),mini cabrio,ncoo
462,迷你minicoopercabrio1.6lat基本版(200906),mini cabrio,ioop
465,迷你minicooper1.6lat两厢天窗版(2005),mini cabrio,你inicooper
468,一汽奥迪fv7281bdc2.8at(201203),一汽奥迪a6l,一汽奥迪
469,林荫大道parkavenue3.8at(91-96),美国通用别克林荫大道,林荫大道parkavenue
471,美国通用雪弗兰克尔维特coupe6.0,美国通用雪佛兰克尔维特,美国通克尔维特cou
472,美国通用雪弗兰克尔维特z065.7mt,美国通用雪佛兰克尔维特,美国通克尔维特
474,庞蒂克博纳维尔3.8at,美国通用庞蒂克博纳维尔,博纳维尔
475,东风小康eq6410lf,东风小康k06,东风小康
476,沃尔沃v702.5at,瑞典沃尔沃v60,沃尔沃v70
477,戈蓝3.0at,戈蓝galant,戈蓝
478,戈蓝ea22.0mt,戈蓝galant,戈蓝ea2
479,解放ca1040k11l2载货汽车,金卡,解放ca
480,曙光dg1021载货汽车,傲骏,曙光
481,解放ca5030xxyk2l2厢式运输车,金卡,解放
485,蓝箭ljc5030xxybd厢式运输车,蓝箭载货车,蓝箭
486,红岩cq19载货汽车,红岩货车,红岩
487,斯达-斯太尔zz1233k4441,豪骏,斯达-斯太尔
490,东风dfl1140b1,东风天锦(b),东风
494,东风eq1162ge载货汽车,东风霸龙,东风
497,阿斯顿马丁v84.7mt,阿斯顿-马丁vanquish,阿斯顿马丁v8
499,劳斯莱斯幻影ewb6.7at(03),幻影phantom,幻影ewb
500,力帆lf71321.3mt(200904),力帆320,力帆
502,进口奔驰benz唯雅诺3.0,奔驰viano,唯雅诺
503,进口奔驰benz迈巴赫62(02),德国戴姆勒克莱斯勒迈巴赫,迈巴赫
504,江南jnj71101.1mt,江南奥拓,江南
505,领航员5.4,领航员navigator,领航员
507,莲花ghk7160a1.6at(两厢),莲花l3,莲花
511,马自达3231.8mt,日本马自达323,马自达
512,雅阁cd42.0mt(93-97),雅阁accord,雅阁cd4
514,雅阁hg72052.0lcvt(201309),广汽本田雅阁,雅阁
516,保时捷porscheboxsters跑车3.2at(05-12),保时捷博斯特boxster,保时捷por
520,帕杰罗v733.5,帕杰罗pajero,帕杰罗v73
523,帕杰罗v753.5,帕杰罗pajero,帕杰罗v75
524,上汽通用五菱五菱微卡lzw1010psei3微型双排座货车,通用五菱微卡,五菱微卡
525,帕杰罗h651.6,帕杰罗pajero,帕杰罗h6
527,雷斯特ii3.2at(200603),雷斯特rexton,雷斯特ii
528,美人奴3.5at,楼兰murano,美人奴
529,太空车n312.4,太空车spacewagon,太空车n31
530,太空车n342.4at,太空车spacewagon,太空车n34
531,太空车n842.4at,太空车spacewagon,太空车n84
532,三菱将军v32s2.4at,帕杰罗pajero,将军v3
533,三菱将军v322.4mt,帕杰罗pajero,将军v
534,三菱将军2.0mt(柴油),帕杰罗pajero,三菱将军
535,帕杰罗v433.0,帕杰罗pajero,帕杰罗v43
536,帕杰罗v453.5,帕杰罗pajero,帕杰罗v45
537,沃尔沃s401.8at,瑞典沃尔沃s40,沃尔沃s40
538,长安sc7005ev(纯电动),长安电动汽车,长安
540,进口讴歌讴歌acurarlx3.5latpaws版(201306),讴歌rlx,讴歌acurarlx
541,进口讴歌讴歌acurarl3.7lat(200809),讴歌rl,讴歌acurarl
546,红旗ca72282.2mt,一汽红旗ca7220,红旗
547,斯达-斯太尔zz4252n2941,重汽斯太尔,斯达-斯太尔
550,豪泺zz3257m344自卸汽车,豪泺(howo),豪泺
556,大宇旅行家1.6mt,旅行家nubira,旅行家
558,王子prince2.0at(91-97),普瑞斯prince,王子prince
559,大宇赛手1.5mt,雷瑟racer,大宇赛手
560,捷豹xf3.0at(08),捷豹xf级,捷豹xf
561,捷豹xjl3.0lat(09),捷豹xj级,捷豹xjl
563,捷豹xj84.2at(03-2009),捷豹xj级,捷豹xj8
565,长丰猎豹黑金刚cfa2030e3.0lmt(2003),v31/v32/v33系列,黑金刚
566,雅特2.0at(04),雅特astra,雅特
567,长丰猎豹旗舰cfa2030a3.0lmt豪华型(2002),v31/v32/v33系列,豹旗舰
568,长丰猎豹旗舰cjy6470g2.4lmt(2001),v31/v32/v33系列,猎旗舰
569,长丰猎豹旗舰cfa6470g2.4lmt豪华型(2001),v31/v32/v33系列,旗舰
570,长丰猎豹旗舰cfa6470h2.4lmt标准型(2003),v31/v32/v33系列,猎豹旗舰
573,双龙主席cm600s3.2at,主席chairman,主席
574,飞碟fd64321.6mt四门(200507),飞碟ufo,飞碟
580,花冠2.2at,花冠corolla,花冠
581,进口奔驰benzr2803.0at,奔驰r级,奔驰
582,丰田普拉多27002.7mt,日本丰田普拉多,普拉多
583,进口奔驰benzcl63amg双门(07),奔驰cl级,奔驰
584,萨普拉jza803.0at(199312-200208),萨普拉supra,萨普拉
585,兰博基尼lp5605.2mt(两门),盖拉多gallardo,兰博基尼
587,双龙路帝2.7at,路帝rodius,龙路帝
588,日本雅阁cb3mt(90-93),雅阁accord,雅阁cb3
590,马自达mpv2.5at,日本马自达mpv,马自达mpv
592,马自达mazda52.0at(201101),日本普力马/马自达5,马自达mazda5
593,奇瑞威麟x5sqr6470p11a72.0tmt四驱豪华型(201108),威麟x系列,威麟x5
595,瑞麒sqr7000els18纯电动轿车(200904),瑞麒m系列,瑞麒
600,进口奔驰benzsl5005.0at(01-12),奔驰sl级,奔驰
601,进口丰田普拉多prado27002.0latgx豪华型(2003),日本丰田普拉多,普拉多pra
602,萨普拉ta573.0at(199312-200208),萨普拉supra,萨普拉ta57
603,赛利卡2.2at,赛利卡celica,赛利卡
604,进口奔驰benzcls55amg5.5at(04),奔驰cls级,奔驰
608,上汽通用五菱五菱之光lzw6400c3q1.1lmt标准型加长版不带空调(200701),五菱之光/五菱扬光,五菱之光
612,莲花ghk71671.6mt,莲花l5,莲花
613,进口奔驰benz斯马特(smart)0.8lat(1998-2006),fortwo,驰斯马特(rt)
615,福莱克斯3.5at,福克斯focus,福莱克斯
617,雷鸟3.9at,美国福特雷鸟,雷鸟
619,进口福特风之星windstar3.0lat,美国福特风之星,风之星
621,环宇ls2.5mt,美国福特水星环宇,环宇ls
622,黑貂3.0at,美国福特水星黑貂,黑貂
624,探索者3.5at(四驱),美国福特探索者,探索者
626,探针2.0,美国福特探针probe ,探针
627,女王2.0,日本光冈女王,女王
628,野马3.7at(两门),美国福特野马,野马
629,吉姆尼1.3at(98),吉姆尼jimny,吉姆尼
632,雅阁cd52.2mt(93-97),雅阁accord,雅阁cd5
633,双龙享御m2002.0at(柴油),享御kyron,享御
634,戈蓝es2.4at,戈蓝galant,戈蓝es
636,帕杰罗v773.8at,帕杰罗pajero,帕杰罗v7
638,力帆lf71621.6mtcng(200809),力帆620,力帆
639,本田思域1.5mt,思域civic,本田思域
640,英菲尼迪i303.0,日本日产英菲尼迪i系列,英菲尼迪i30
641,英菲尼迪j303.0mt,英菲尼迪j系列,英菲尼迪j30
642,进口英菲尼迪英菲尼迪infinitim252.5lat舒适型(201009),英菲尼迪m系列,英菲尼迪infini
643,法拉利ferrari458italia4.5l(10),法拉利458,法拉利ferra
644,英菲尼迪m353.5at,英菲尼迪m系列,英菲尼迪m35
645,进口标致标致peugeot8072.0at(02),标致807,标致peugeot
646,奥蒂玛ma312.4at,奥蒂玛altima,奥蒂玛ma31
647,风度3.0mt,风度cefiro,风度
648,威达1.6at(88-95),德国阿德姆-欧宝维佳,威达
649,进口沃尔沃volvoxc60t63.0tat智雅版(200904),瑞典沃尔沃xc60,沃尔沃volvo
651,欧洲之星1.6mt,马来西亚宝腾proton青年莲花竞速rc,欧洲之星
654,梯寇tico0.8mt(88-99),韩国大宇巧龙,梯寇tico
655,沙龙salon2.0mt,超级沙龙super salon,沙龙salon
656,贵族espero1.5mt(90-97),爱斯皮罗espero,贵族espero
658,丰田ca7180chev1.8cvt混合动力(201202),普锐斯,丰田
659,双龙路帝2.0at,路帝rodius,路帝
661,宾利雅致r/t6.8at(02),雅致arnage,雅致r/t
663,特拉诺terrano2.7tdi越野车,日本日产特拉诺,特拉诺terrano
668,红旗ca7200ae2.0,一汽红旗明仕,红旗
669,华利tj63301.0,华利微型客车,华利
670,南汽跃进nj1028ds,跃进小虎,汽进
671,南汽跃进nj1028db,跃进小虎,南汽跃进
689,进口标致标致peugeot307sw2.0at(00-08),标致307,标致peugeot
690,沃尔沃s702.4at(97-00),瑞典沃尔沃s70,沃尔沃s70
691,进口标致标致peugeot6053.0at(89-99),标致605,标致peugeot
692,沃尔沃s602.0tat(201003),瑞典沃尔沃s60,沃尔沃s60
693,进口雪铁龙雪铁龙citroenc82.0mt(02),标致雪铁龙c8,citroe
